"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.0687715,-0.112046666667,0.678377777778
0.1,0.062769,-0.0834633333333,0.998511111111
0.15,0.0591675,-0.0228666666667,1.48823888889
0.2,0.060025,0.0697433333333,1.82599861111
0.25,0.0660275,0.16807,1.72548055556
0.3,0.077175,0.248389166667,1.27529305556
0.35,0.0914095,0.297838333333,0.694575
0.4,0.1075305,0.315845833333,0.209134722222
0.45,0.1233085,0.314988333333,-0.104805555556
0.5,0.1390865,0.30527,-0.408741666667
0.55,0.1541785,0.277258333333,-0.867980555556
0.6,0.1672125,0.221520833333,-1.43917083333
0.65,0.1771595,0.129196666667,-1.79408055556
0.7,0.180075,0.0340141666667,-1.77454861111
0.75,0.1802465,-0.0491633333333,-1.62829722222
0.8,0.175273,-0.129768333333,-1.41154027778
0.85,0.1668695,-0.192651666667,-1.10760416667
0.9,0.155722,-0.238956666667,-0.859405555556
0.95,0.1428595,-0.2769725,-0.677425
1,0.127939,-0.308128333333,-0.404454166667
1.05,0.111818,-0.32242,0.118144444444
1.1,0.095011,-0.299839166667,0.804620833333
1.15,0.0811195,-0.2392425,1.36961805556
1.2,0.0708295,-0.158065833333,1.64068333333
1.25,0.0649985,-0.0677425,1.52730277778
1.3,0.0646555,-0.00142916666667,1.25099722222
1.35,0.06517,0.0505925,1.24861527778
1.4,0.069286,0.1191925,1.4277375
1.45,0.076832,0.19894,1.3591375
1.5,0.089523,0.261823333333,0.955636111111
1.55,0.103586,0.295551666667,0.443041666667
1.6,0.119364,0.3061275,-0.0676472222222
1.65,0.134799,0.287548333333,-0.490204166667
1.7,0.1483475,0.253248333333,-0.736973611111
1.75,0.160181,0.212945833333,-0.934198611111
1.8,0.169785,0.162353333333,-1.23670555556
1.85,0.1768165,0.0906091666667,-1.5820875
1.9,0.1792175,0.000571666666667,-1.75644583333
1.95,0.1768165,-0.08918,-1.71738194444
2,0.170128,-0.1723575,-1.53206666667
2.05,0.1596665,-0.248103333333,-1.07235138889
2.1,0.144403,-0.282975,-0.486869444444
2.15,0.1308545,-0.290120833333,-0.15435
2.2,0.115591,-0.296409166667,0.0647888888889
2.25,0.100842,-0.286976666667,0.422080555556
2.3,0.0866075,-0.256678333333,0.918954166667
2.35,0.0746025,-0.195795833333,1.41963888889
2.4,0.066542,-0.10976,1.65830972222
2.45,0.0636265,-0.0228666666667,1.54588194444
2.5,0.0646555,0.0465908333333,1.32055
2.55,0.0684285,0.10633,1.21907916667
2.6,0.0752885,0.165783333333,1.25719027778
2.65,0.0848925,0.231810833333,1.25433194444
2.7,0.0982695,0.298981666667,0.856547222222
2.75,0.115591,0.326135833333,0.0647888888889
2.8,0.1318835,0.302411666667,-0.615018055556
2.85,0.146118,0.256964166667,-0.928958333333
2.9,0.1576085,0.2066575,-1.05281944444
2.95,0.1668695,0.1517775,-1.15810138889
3,0.172872,0.0914666666667,-1.30197083333
3.05,0.1761305,0.0228666666667,-1.49490833333
3.1,0.1754445,-0.0588816666667,-1.62353333333
3.15,0.1702995,-0.143774166667,-1.52063333333
3.2,0.160867,-0.21609,-1.15000277778
3.25,0.148176,-0.26068,-0.688381944444
3.3,0.1342845,-0.28126,-0.341094444444
3.35,0.1202215,-0.296123333333,0.0466861111111
3.4,0.103929,-0.278973333333,0.484011111111
3.45,0.091924,-0.241815,0.719823611111
3.5,0.0800905,-0.208086666667,0.989936111111
3.55,0.0704865,-0.147775833333,1.43011944444
3.6,0.064827,-0.0611683333333,1.68879861111
3.65,0.0643125,0.0285833333333,1.57398888889
3.7,0.0680855,0.0997558333333,1.26147777778
3.75,0.0746025,0.152920833333,1.02090138889
3.8,0.0835205,0.198368333333,0.941344444444
3.85,0.094325,0.246674166667,0.859405555556
3.9,0.1082165,0.289549166667,0.519263888889
3.95,0.123823,0.303840833333,-0.0833680555556
4,0.139258,0.28126,-0.693622222222
4.05,0.1524635,0.22981,-1.05663055556
4.1,0.1624105,0.169499166667,-1.1361875
4.15,0.169099,0.116905833333,-1.22241388889
4.2,0.1744155,0.0511641666667,-1.44679305556
4.25,0.174587,-0.0302983333333,-1.59447361111
4.3,0.171157,-0.10976,-1.62448611111
4.35,0.163954,-0.196081666667,-1.43440694444
4.4,0.1510915,-0.260394166667,-0.918001388889
4.45,0.1372,-0.288405833333,-0.325373611111
4.5,0.1219365,-0.291264166667,0.180075
4.55,0.1075305,-0.267825833333,0.524027777778
4.6,0.095011,-0.234669166667,0.693622222222
4.65,0.0842065,-0.200369166667,0.911808333333
4.7,0.074431,-0.1449175,1.18525555556
4.75,0.069629,-0.0797475,1.38915
4.8,0.0663705,-0.0060025,1.50872361111
4.85,0.0686,0.0774608333333,1.34341666667
4.9,0.0749455,0.131483333333,1.0418625
4.95,0.0818055,0.176359166667,0.915143055556
5,0.0924385,0.223521666667,0.789852777778
5.05,0.1044435,0.258393333333,0.521645833333
5.1,0.1185065,0.277258333333,0.15435
5.15,0.1325695,0.2744,-0.243434722222
5.2,0.1462895,0.252105,-0.635979166667
5.25,0.1579515,0.212945833333,-1.10950972222
5.3,0.1682415,0.1414875,-1.54111805556
5.35,0.172529,0.0511641666667,-1.6335375
5.4,0.172872,-0.0254391666667,-1.50300694444
5.45,0.170128,-0.09947,-1.29958888889
5.5,0.162582,-0.15778,-1.01851944444
5.55,0.154007,-0.199225833333,-0.813672222222
5.6,0.142688,-0.2375275,-0.659322222222
5.65,0.1301685,-0.268683333333,-0.336806944444
5.7,0.1154195,-0.275543333333,0.172929166667
5.75,0.101871,-0.249246666667,0.623593055556
5.8,0.090552,-0.211516666667,0.961352777778
5.85,0.0800905,-0.150634166667,1.1276125
5.9,0.0756315,-0.0931816666667,1.089025
5.95,0.0711725,-0.0460191666667,1.18001527778
6,0.070315,0.0234383333333,1.32817222222
6.05,0.073745,0.090895,1.31959722222
6.1,0.0794045,0.156065,1.20192916667
