"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: GateState","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
0,1,0,,,0.096684,1,0,,
0.041405,0,,,,0.131607,0,,,
0.559652,1,0.05,0.0893505751816,3.33839627427E-05,0.755179,1,0.05,0.0758150207178,-0.000351407657008
0.600873,0,,,,0.790112,0,,,
1.119187,1,0.1,0.089186692569,-0.000619165415537,1.41569,1,0.1,0.0755819259393,-0.000354393695253
1.160865,0,,,,1.450826,0,,,
1.680904,1,0.15,0.0891391516683,0.000449895478285,2.078253,1,0.15,0.0753462853405,-0.000356906509612
1.721782,0,,,,2.113474,0,,,
2.241033,1,0.2,0.0892314837974,-0.000120213818844,2.742902,1,0.2,0.0751129827291,-0.000345126026078
2.282303,0,,,,2.778215,0,,,
2.801585,1,0.25,0.0892152251433,6.22043778409E-05,3.409587,1,0.25,0.074869681802,-0.000384756683408
2.842547,0,,,,3.445063,0,,,
3.361918,1,0.3,0.0892355194903,1.0232358759E-05,4.078564,1,0.3,0.0746272689829,-0.000339970232589
3.403562,0,,,,4.114085,0,,,
3.922215,1,0.35,0.0891353781988,-0.000367690248109,4.749586,1,0.35,0.0743898406822,-0.000367691515348
3.963774,0,,,,4.785209,0,,,
4.48381,1,0.4,0.088975484756,-0.000201735914215,5.422841,1,0.4,0.0741400761341,-0.000374269697277
4.524959,0,,,,5.458621,0,,,
5.046121,1,0.45,0.0890825393268,0.000582502326007,6.098392,1,0.45,0.0738899844673,-0.000366138256669
5.086863,0,,,,6.134298,0,,,
5.606372,1,0.5,0.0891392875606,-0.000379920862498,6.776212,1,0.5,0.0736462273448,-0.000353100250438
5.647757,0,,,,6.812255,0,,,
6.167964,1,0.55,0.0890565655758,8.53227030305E-05,7.456242,1,0.55,0.0733965172718,-0.000381308740291
6.209453,0,,,,7.492479,0,,,
6.729254,1,0.6,0.0890849554199,1.58365696056E-05,8.138683,1,0.6,0.0731441499498,-0.000358293136055
6.770344,0,,,,8.175074,0,,,
7.290488,1,0.65,0.0890273831808,-0.000220999617848,8.823413,1,0.65,0.0729031549418,-0.000345619378301
7.331824,0,,,,8.859918,0,,,
7.852505,1,0.7,0.0891279456736,0.000578862432912,9.510373,1,0.7,0.0726324077094,-0.000442628066625
7.893728,0,,,,9.54699,0,,,
8.412478,1,0.75,0.0892657224364,-8.67788403206E-05,10.200221,1,0.75,0.0723858046469,-0.000272320914941
8.453664,0,,,,10.236688,0,,,
8.972756,1,0.8,0.0892624522057,7.51052399992E-05,10.891864,1,0.8,0.0721491793449,-0.000411920238294
9.01325,0,,,,10.928592,0,,,
9.53277,1,0.85,0.0893108497197,9.77387030038E-05,11.586249,1,0.85,0.0718873475188,-0.000342219975473
9.573825,0,,,,11.623036,0,,,
10.092441,1,0.9,0.0891471658023,-0.000682667767915,12.282937,1,0.9,0.0716411818927,-0.000364453961957
10.133891,0,,,,12.319991,0,,,
10.654521,1,0.95,0.0891699472862,0.000763729125316,12.982103,1,0.95,0.0713843257444,-0.000370296149811
10.694692,0,,,,13.019235,0,,,
11.213908,1,1,0.0892866426133,-0.000346503386894,13.683814,1,1,0.071118259395,-0.00038803982998
11.255351,0,,,,13.72112,0,,,
11.774512,1,1.05,0.0891325113355,-0.000203372382048,14.388222,1,1.05,0.0708524604784,-0.000366633361111
11.815607,0,,,,14.425583,0,,,
12.335834,1,1.1,0.0890291677785,-0.000164842500074,15.095207,1,1.1,0.0705516534346,-0.000484323996767
12.376962,0,,,,15.132736,0,,,
12.89774,1,1.15,0.0891206300066,0.000490385306755,15.80564,1,1.15,0.0694637607036,-0.00257829480323
12.938664,0,,,,15.843481,0,,,
13.457914,1,1.2,0.089404332681,0.000522523804917,16.535321,1,1.2,0.0665385017902,-0.00543961689625
13.498869,0,,,,16.574978,0,,,
14.01626,1,1.25,0.0894215745218,-0.000460763388178,17.311384,1,1.25,,
14.057363,0,,,,17.354315,0,,,
14.576217,1,1.3,0.089199972507,-0.000330733154612,,,,,
14.617434,0,,,,,,,,
15.137339,1,1.35,0.0890307570776,-0.000272399246022,,,,,
15.178598,0,,,,,,,,
15.699426,1,1.4,0.0890224874983,0.000242974693543,,,,,
15.740634,0,,,,,,,,
