"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.2601655,-0.280688333333,0.110522222222
0.1,0.2461025,-0.276686666667,0.217233333333
0.15,0.232211,-0.263538333333,0.438754166667
0.2,0.21952,-0.234383333333,0.7503125
0.25,0.2083725,-0.186649166667,0.975644444444
0.3,0.2008265,-0.134055833333,1.07997361111
0.35,0.1949955,-0.0794616666667,1.18049166667
0.4,0.1925945,-0.0151491666667,1.23432361111
0.45,0.1936235,0.0460191666667,1.19859444444
0.5,0.197225,0.104615,1.13475833333
0.55,0.204085,0.160638333333,1.02090138889
0.6,0.2135175,0.207229166667,0.863693055556
0.65,0.2248365,0.248103333333,0.617876388889
0.7,0.2385565,0.272970833333,0.214851388889
0.75,0.252791,0.2683975,-0.129577777778
0.8,0.265482,0.254963333333,-0.265348611111
0.85,0.278173,0.242386666667,-0.393973611111
0.9,0.2900065,0.217805,-0.622640277778
0.95,0.300125,0.180646666667,-0.889894444444
1,0.308357,0.128339166667,-1.11665555556
1.05,0.313159,0.0663133333333,-1.22527222222
1.1,0.314874,0.005145,-1.27862777778
1.15,0.313845,-0.06174,-1.28100972222
1.2,0.3087,-0.126624166667,-1.12094305556
1.25,0.300811,-0.175215833333,-0.892276388889
1.3,0.2910355,-0.2135175,-0.765556944444
1.35,0.2793735,-0.2495325,-0.703626388889
1.4,0.2663395,-0.288691666667,-0.408741666667
1.45,0.2498755,-0.296695,0.122908333333
1.5,0.2358125,-0.2701125,0.468766666667
1.55,0.2234645,-0.250104166667,0.813672222222
1.6,0.209916,-0.193795,1.23098888889
1.65,0.203399,-0.113761666667,1.12237222222
1.7,0.1997975,-0.0768891666667,0.815101388889
1.75,0.1956815,-0.0443041666667,0.961352777778
1.8,0.1946525,0.0174358333333,1.23718194444
1.85,0.1973965,0.08575,1.23765833333
1.9,0.203399,0.145203333333,0.991841666667
1.95,0.2121455,0.187220833333,0.670279166667
2,0.2227785,0.2066575,0.571190277778
2.05,0.232211,0.242100833333,0.534984722222
2.1,0.2471315,0.2683975,0.215327777778
2.15,0.259994,0.261251666667,-0.08575
2.2,0.272685,0.259250833333,-0.375870833333
2.25,0.286748,0.2272375,-0.747930555556
2.3,0.295666,0.178931666667,-0.924670833333
2.35,0.3044125,0.13377,-1.01089722222
2.4,0.309386,0.0783183333333,-1.09235972222
2.45,0.31213,0.0231525,-1.12427777778
2.5,0.311787,-0.0340141666667,-1.14285694444
2.55,0.3087,-0.0914666666667,-1.13094722222
2.6,0.3026975,-0.148919166667,-1.0161375
2.65,0.293608,-0.195795833333,-0.772702777778
2.7,0.2828035,-0.22638,-0.510688888889
2.75,0.2707985,-0.245245,-0.332043055556
2.8,0.2581075,-0.257535833333,-0.219138888889
2.85,0.245245,-0.270398333333,0.0438277777778
2.9,0.230496,-0.25725,0.465908333333
2.95,0.2190055,-0.220091666667,0.7846125
3,0.2087155,-0.1792175,1.071875
3.05,0.200312,-0.111760833333,1.25433194444
3.1,0.1977395,-0.0474483333333,1.18192083333
