"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.0327565,0.133198333333,1.22781296296
0.1,0.038416,0.190555555556,1.36945925926
0.15,0.050078,0.272113333333,1.36072546296
0.2,0.066542,0.33271,1.14111018519
0.25,0.0835205,0.381015833333,1.05424861111
0.3,0.104272,0.439611666667,0.837015277778
0.35,0.1277675,0.477055833333,0.0652652777778
0.4,0.153321,0.450759166667,-0.971833333333
0.45,0.173558,0.375585,-1.82695138889
0.5,0.1915655,0.262395,-2.3195375
0.55,0.2001405,0.134341666667,-2.35860138889
0.6,0.204428,0.02401,-2.22664166667
0.65,0.202713,-0.0860358333333,-2.15280138889
0.7,0.1956815,-0.19208,-2.04323194444
0.75,0.183505,-0.292979166667,-1.78264722222
0.8,0.166012,-0.374155833333,-1.32150277778
0.85,0.1456035,-0.427320833333,-0.712201388889
0.9,0.122794,-0.447615,-0.0090513888889
0.95,0.0999845,-0.426463333333,0.618352777778
1,0.079919,-0.383016666667,1.11856111111
1.05,0.0612255,-0.3147025,1.57398888889
1.1,0.04802,-0.223521666667,1.93937916667
1.15,0.038759,-0.12005,2.25903611111
1.2,0.035672,0.00200083333333,2.52152638889
1.25,0.0385875,0.138629166667,2.42720138889
1.3,0.0499065,0.2546775,1.86172777778
1.35,0.0649985,0.325564166667,1.22527222222
1.4,0.0828345,0.3712975,0.828440277778
1.45,0.102214,0.4073125,0.490680555556
1.5,0.123823,0.424748333333,-0.0309652777778
1.55,0.145432,0.406169166667,-0.6731375
1.6,0.1648115,0.357291666667,-1.29244305556
1.65,0.1819615,0.273256666667,-1.73024444444
1.7,0.19208,0.1809325,-2.01560138889
1.75,0.200312,0.0734591666667,-2.28380833333
1.8,0.199969,-0.0528791666667,-2.2981
1.85,0.194481,-0.161781666667,-2.03894444444
1.9,0.1836765,-0.256964166667,-1.71214166667
1.95,0.168413,-0.3335675,-1.35151527778
2,0.1500625,-0.393020833333,-0.902280555556
2.05,0.1287965,-0.428464166667,-0.235336111111
2.1,0.10633,-0.418745833333,0.520216666667
2.15,0.0862645,-0.371869166667,1.08140277778
2.2,0.068943,-0.307270833333,1.45775
2.25,0.055223,-0.2255225,1.76073333333
2.3,0.0461335,-0.1294825,1.97415555556
2.35,0.042189,-0.0265825,2.10039861111
2.4,0.0433895,0.0814625,2.13374583333
2.45,0.0502495,0.190936666667,1.92985138889
2.5,0.062769,0.280688333333,1.46965972222
2.55,0.079233,0.334425,1.10712777778
2.6,0.0958685,0.389305,0.768415277778
2.65,0.1185065,0.420746666667,0.0843208333333
2.7,0.139258,0.396450833333,-0.584052777778
2.75,0.158123,0.356434166667,-1.02661805556
2.8,0.175273,0.296123333333,-1.50205416667
2.85,0.188307,0.206085833333,-1.95795833333
2.9,0.196196,0.0966116666667,-2.23283472222
2.95,0.1980825,-0.0202941666667,-2.32573055556
3,0.194138,-0.1380575,-2.23712222222
3.05,0.1843625,-0.250675833333,-1.81265972222
3.1,0.1682415,-0.324135,-1.18430277778
3.15,0.151263,-0.36358,-0.730780555556
3.2,0.132055,-0.3970225,-0.272970833333
3.25,0.1109605,-0.397594166667,0.402548611111
3.3,0.091238,-0.351860833333,0.887988888889
3.35,0.0759745,-0.3026975,1.13047083333
3.4,0.0608825,-0.243815833333,1.50681805556
3.45,0.050764,-0.151491666667,1.85982222222
3.5,0.0457905,-0.0525933333333,1.98701805556
3.55,0.0454475,0.0483058333333,1.99892777778
3.6,0.0505925,0.149205,1.89698055556
3.65,0.0605395,0.240671666667,1.65259305556
3.7,0.0749455,0.316131666667,1.29101388889
3.75,0.0924385,0.372155,0.790329166667
3.8,0.1126755,0.39788,0.168641666667
3.85,0.1329125,0.387875833333,-0.413981944444
3.9,0.1517775,0.354433333333,-0.901327777778
3.95,0.168756,0.2975525,-1.34008194444
4,0.1819615,0.218376666667,-1.67927083333
4.05,0.190708,0.128053333333,-1.93413888889
4.1,0.1949955,0.0248675,-2.13184027778
4.15,0.193452,-0.0888941666667,-2.12326527778
4.2,0.185906,-0.1929375,-1.84600694444
4.25,0.1737295,-0.274685833333,-1.48442777778
4.3,0.158123,-0.33957,-1.14095138889
4.35,0.1397725,-0.393020833333,-0.585481944444
4.4,0.117992,-0.404168333333,0.210563888889
4.45,0.098441,-0.367581666667,0.796998611111
4.5,0.080948,-0.314988333333,0.984219444444
4.55,0.0673995,-0.271541666667,1.26147777778
4.6,0.053165,-0.197796666667,1.87506666667
4.65,0.046648,-0.0794616666667,2.27999722222
4.7,0.045276,0.0417316666667,2.12945833333
